Timestamp (s),Code,Code,Code,Code,Code,Code,Code,Energy (J),Duration (s),Feed rate (mm/min),Spindle speed (RPM),Spindle Load,X Load,Y Load,Z Load,X (mm),Y (mm),dX (code) (mm),dY (code) (mm),Length of Cut XY (code) (mm),Z (mm),dZ (mm),Cutting Strategy,IdX (mm),IdY (mm),Depth of Cut(mm),Area of Cut (mm^2),Volume of Cut (mm^3),Cut / No Cut,Length of Cut XYZ (code) (mm),Operation
337.36,Y-31.5880,,,,,,,339.06,24.96,150.1738086,1503.056868,20.72887465,8.480977173,13.57869443,22.22426912,-9.363,-31.588,0,-63.176,63.176,-1.5,0,Conventional,3.2,63.2,1.5,192.78,289.17,Cut with Feed,63.176,Face Milling
362.32,G04,X1.0000,,,,,,8.65,1.19,0,1499,1.558333333,2.025,7.208333333,20.48333333,-9.363,-31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
363.51,X-6.1880,,,,,,,9.36,1.21,150.7540984,1504,18.52459016,56.18032787,7.672131148,16.2704918,-6.188,-31.588,3.175,0,3.175,-1.5,0,Conventional,3.1,4.4,1.5,10.33,15.495,Cut with Feed,3.175,Face Milling
364.72,G04,X1.0000,,,,,,2.3,1.2,0,1501.561983,5.231404959,3.752066116,1.900826446,25.87603306,-6.188,-31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
365.92,Y31.5880,,,,,,,269.69,24.83,151.9388084,1502.518519,22.87882448,19.91465378,10.85708535,16.18760064,-6.188,31.588,0,63.176,63.176,-1.5,0,Climb,3.2,63.2,1.5,192.87,289.305,Cut with Feed,63.176,Face Milling
390.75,G04,X1.0000,,,,,,7.19,0.89,0,1499,1.011111111,2.311111111,7.988888889,24.67777778,-6.188,31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
391.64,X-3.0130,,,,,,,15.45,1.51,120,1503.013158,16.04605263,27.89473684,10.16447368,22.21710526,-3.013,31.588,3.175,0,3.175,-1.5,0,Climb,3,4.4,1.5,10.19,15.285,Cut with Feed,3.175,Face Milling
393.15,G04,X1.0000,,,,,,18.68,2.09,0,2234.37619,14.74285714,7.133333333,8.895238095,19.71428571,-3.013,31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
395.24,Y-31.5880,,,,,,,362.61,24.96,151.939127,2998,14.43452143,12.78454145,14.52182619,22.40248298,-3.013,-31.588,0,-63.176,63.176,-1.5,0,Conventional,3.1,63.2,1.5,186.66,279.99,Cut with Feed,63.176,Face Milling
420.2,G04,X1.0000,,,,,,6.03,0.89,0,2998,1.044444444,0.711111111,6.7,21.04444444,-3.013,-31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
421.09,X0.1630,,,,,,,11.57,1.46,150.9659864,2998,12.9047619,43.7414966,7.870748299,21.63945578,0.163,-31.588,3.176,0,3.176,-1.5,0,Conventional,3.1,4.5,1.5,10.55,15.825,Cut with Feed,3.176,Face Milling
422.55,G04,X1.0000,,,,,,3.13,0.91,0,2997.891304,2.456521739,3.72826087,3.402173913,26.64130435,0.163,-31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
423.46,Y31.5880,,,,,,,262.22,24.96,151.939127,2997.875851,16.40368442,25.76371646,10.50140168,17.95835002,0.163,31.588,0,63.176,63.176,-1.5,0,Climb,3.2,63.2,1.5,192.65,288.975,Cut with Feed,63.176,Face Milling
448.42,G04,X1.0000,,,,,,6.68,0.9,0,2998,1,6.043956044,7.340659341,29.30769231,0.163,31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
