Timestamp (s),Code,Code,Code,Code,Code,Code,Code,Energy (J),Duration (s),Feed rate (mm/min),Spindle speed (RPM),Spindle Load,X Load,Y Load,Z Load,X (mm),Y (mm),dX (code) (mm),dY (code) (mm),Length of Cut XY (code) (mm),Z (mm),dZ (mm),Cutting Strategy,IdX (mm),IdY (mm),Depth of Cut(mm),Area of Cut (mm^2),Volume of Cut (mm^3),Cut / No Cut,Length of Cut XYZ (code) (mm),Operation
75.56,X-28.4130,Y31.5880,,,,,,31.67,2.74,75.72363636,1504.490909,15.26545455,29.02181818,11.51636364,26.42545455,-28.413,31.588,3.175,1.588,3.549981549,-3,0,Climb,3.4,4.6,3,10.65,31.95,Cut with Feed,3.549981549,Face Milling
78.3,G04,X1.0000,,,,,,8.36,1.27,0,1501.34375,4.8125,8,6.53125,19.484375,-28.413,31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
79.57,Y-31.5880,,,,,,,557.62,49.55,75.98466505,1503.217111,19.77280065,9.932001614,11.25141243,22.63518967,-28.413,-31.588,0,-63.176,63.176,-3,0,Conventional,3,63.2,3,186.59,559.77,Cut with Feed,63.176,Face Milling
129.12,G04,X1.0000,,,,,,8.1,1.19,0,1499,3.041666667,8.475,6.75,16.275,-28.413,-31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
130.31,X-25.2380,,,,,,,18.53,2.42,75.6872428,1502.82716,17.95884774,43.86419753,7.625514403,16.50617284,-25.238,-31.588,3.175,0,3.175,-3,0,Conventional,3.1,4.5,3,10.55,31.65,Cut with Feed,3.175,Face Milling
132.73,G04,X1.0000,,,,,,2.12,1.17,0,1501.372881,5.533898305,6.245762712,1.796610169,24.00847458,-25.238,-31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
133.9,Y31.5880,,,,,,,478.61,49.71,75.9847144,1503.583669,18.87932422,15.56154465,9.626106195,15.50181014,-25.238,31.588,0,63.176,63.176,-3,0,Climb,3.2,63.2,3,192.65,577.95,Cut with Feed,63.176,Face Milling
183.61,G04,X1.0000,,,,,,8.4,1.15,0,1499,3.034482759,0.284482759,7.24137931,22.75,-25.238,31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
184.76,X-22.0630,,,,,,,11.05,2.45,75.69105691,1503.95935,15.95121951,28.34146341,4.491869919,25.85365854,-22.063,31.588,3.175,0,3.175,-3,0,Climb,3.1,4.5,3,10.42,31.26,Cut with Feed,3.175,Face Milling
187.21,G04,X1.0000,,,,,,7.16,0.89,0,1502.333333,5.666666667,7,7.955555556,17.01111111,-22.063,31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
188.1,Y-31.5880,,,,,,,458.86,37.43,101.1282051,1502.205128,23.7767094,10.02457265,12.25587607,22.35657051,-22.063,-31.588,0,-63.176,63.176,-3,0,Conventional,3.2,63.2,3,192.78,578.34,Cut with Feed,63.176,Face Milling
225.53,G04,X1.0000,,,,,,8.52,1.26,0,1499.07874,3.062992126,6.330708661,6.708661417,16.25984252,-22.063,-31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
226.79,X-18.8880,,,,,,,18.8,1.83,101.4456522,1502.26087,22.34782609,52.55434783,10.2173913,16.22282609,-18.888,-31.588,3.175,0,3.175,-3,0,Conventional,3.1,4.4,3,10.33,30.99,Cut with Feed,3.175,Face Milling
228.62,G04,X1.0000,,,,,,0.38,0.88,0,1502.258427,5.02247191,5.337078652,0.426966292,25.98876404,-18.888,-31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
229.5,Y31.5880,,,,,,,329.76,37.45,101.5507208,1502.013881,22.52696209,15.44554191,8.802989856,15.76268019,-18.888,31.588,0,63.176,63.176,-3,0,Climb,3.2,63.2,3,192.87,578.61,Cut with Feed,63.176,Face Milling
266.95,G04,X1.0000,,,,,,6.54,0.88,0,1499,3,2.033707865,7.348314607,24.66292135,-18.888,31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
267.83,X-15.7130,,,,,,,4.88,2.14,87.29302326,1503.325581,16.49302326,28.88837209,2.269767442,26.68837209,-15.713,31.588,3.175,0,3.175,-3,0,Climb,3,4.4,3,10.19,30.57,Cut with Feed,3.175,Face Milling
269.97,G04,X1.0000,,,,,,7.85,0.89,0,1502.222222,4.4,4.311111111,8.722222222,16.33333333,-15.713,31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
270.86,Y-31.5880,,,,,,,328,30.2,124.9030122,1503.051639,27.05130751,9.840119166,10.85733201,21.88083416,-15.713,-31.588,0,-63.176,63.176,-3,0,Conventional,3.1,63.2,3,186.66,559.98,Cut with Feed,63.176,Face Milling
301.06,G04,X1.0000,,,,,,5.97,0.88,0,1499,3.06741573,3.483146067,6.707865169,15.33707865,-15.713,-31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
301.94,X-12.5380,,,,,,,9.9,1.48,126.147651,1501.080537,23.24832215,26.52348993,6.644295302,15.6442953,-12.538,-31.588,3.175,0,3.175,-3,0,Conventional,3.1,4.5,3,10.55,31.65,Cut with Feed,3.175,Face Milling
303.42,G04,X1.0000,,,,,,0.12,1.23,0,1501.419355,7.556451613,4.306451613,0.096774194,24.70967742,-12.538,-31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
304.65,Y31.5880,,,,,,,280.52,29.97,126.8275517,1502.285524,26.42661775,16.05503669,9.356904603,15.24749833,-12.538,31.588,0,63.176,63.176,-3,0,Climb,3.2,63.2,3,192.65,577.95,Cut with Feed,63.176,Face Milling
334.62,G04,X1.0000,,,,,,6.47,0.92,0,1499,3.053763441,2.989247312,6.956989247,23.70967742,-12.538,31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
335.54,X-9.3630,,,,,,,5.36,1.56,126.1910828,1505.050955,20.42038217,31.40764331,3.414012739,27.53503185,-9.363,31.588,3.175,0,3.175,-3,0,Climb,3.1,4.5,3,10.42,31.26,Cut with Feed,3.175,Face Milling
337.1,G04,X1.0000,,,,,,8.61,0.92,0,1502.548387,5.182795699,5.333333333,9.258064516,16.04301075,-9.363,31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
338.02,Y-31.5880,,,,,,,365.9,25.03,150.1182109,1502.354633,30.93490415,9.797523962,14.61261981,23.17691693,-9.363,-31.588,0,-63.176,63.176,-3,0,Conventional,3.2,63.2,3,192.78,578.34,Cut with Feed,63.176,Face Milling
363.05,G04,X1.0000,,,,,,6.52,0.88,0,1499,3,2.101123596,7.325842697,15.3258427,-9.363,-31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
363.93,X-6.1880,,,,,,,10.47,1.5,120.794702,1499.066225,22.99337748,51.95364238,6.933774834,16.27152318,-6.188,-31.588,3.175,0,3.175,-3,0,Conventional,3.1,4.4,3,10.33,30.99,Cut with Feed,3.175,Face Milling
365.43,G04,X1.0000,,,,,,0.12,0.9,0,1502.296703,5.714285714,3.054945055,0.131868132,26.96703297,-6.188,-31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
366.33,Y31.5880,,,,,,,254.44,25.12,150.1854357,1501.936729,29.5419817,17.62952646,10.12495026,16.1448468,-6.188,31.588,0,63.176,63.176,-3,0,Climb,3.2,63.2,3,192.87,578.61,Cut with Feed,63.176,Face Milling
391.45,G04,X1.0000,,,,,,6.59,0.89,0,1499,3.033333333,4.311111111,7.322222222,25.66666667,-6.188,31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
392.34,X-3.0130,,,,,,,7.49,1.47,150.972973,1505.148649,21.60135135,26.03378378,5.060810811,27.53378378,-3.013,31.588,3.175,0,3.175,-3,0,Climb,3,4.4,3,10.19,30.57,Cut with Feed,3.175,Face Milling
393.81,G04,X1.0000,,,,,,20.26,2.08,0,2283.923445,13.25358852,6.416267943,9.693779904,16.59808612,-3.013,31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
395.89,Y-31.5880,,,,,,,392.52,24.94,151.9390782,2996.781563,16.36593186,9.029659319,15.73226453,22.09258517,-3.013,-31.588,0,-63.176,63.176,-3,0,Conventional,3.1,63.2,3,186.66,559.98,Cut with Feed,63.176,Face Milling
420.83,G04,X1.0000,,,,,,6.32,0.89,0,2997.888889,2.044444444,2.777777778,7.022222222,18.65555556,-3.013,-31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
421.72,X0.1630,,,,,,,11.5,1.51,124.3552632,2995.960526,15.84868421,36.82236842,7.565789474,17.46710526,0.163,-31.588,3.176,0,3.176,-3,0,Conventional,3.1,4.5,3,10.55,31.65,Cut with Feed,3.176,Face Milling
423.23,G04,X1.0000,,,,,,1.33,0.9,0,2997.89011,2.505494505,4.835164835,1.461538462,26.94505495,0.163,-31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
424.13,Y31.5880,,,,,,,260.81,24.79,151.9387097,2997.153226,19.74314516,23.87056452,10.51653226,18.65846774,0.163,31.588,0,63.176,63.176,-3,0,Climb,3.2,63.2,3,192.65,577.95,Cut with Feed,63.176,Face Milling
448.92,G04,X1.0000,,,,,,9.74,1.2,0,2998,2.049586777,7.239669421,8.049586777,27.97520661,0.163,31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
450.12,X3.3380,,,,,,,12.69,1.18,150.7226891,2995.478992,15.45378151,28.08403361,10.66386555,22.49579832,3.338,31.588,3.175,0,3.175,-3,0,Climb,3.1,4.5,3,10.42,31.26,Cut with Feed,3.175,Face Milling
451.3,G04,X1.0000,,,,,,10.2,1.2,0,2997.917355,4.454545455,7.165289256,8.429752066,17.09917355,3.338,31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
452.5,Y-31.5880,,,,,,,346.54,18.55,202.890625,2997.84375,25.09806034,16.03663793,18.67133621,22.56627155,3.338,-31.588,0,-63.176,63.176,-3,0,Conventional,3.2,63.2,3,192.78,578.34,Cut with Feed,63.176,Face Milling
471.05,G04,X1.0000,,,,,,8.91,1.18,0,2998,2.092436975,1.336134454,7.487394958,20.21848739,3.338,-31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
472.23,X6.5130,,,,,,,5.9,0.89,200.7444444,2998,22.57777778,34.25555556,6.555555556,17.37777778,6.513,-31.588,3.175,0,3.175,-3,0,Conventional,3.1,4.4,3,10.33,30.99,Cut with Feed,3.175,Face Milling
473.12,G04,X1.0000,,,,,,1.48,1.19,0,2998,4.933333333,5.266666667,1.233333333,25.93333333,6.513,-31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
474.31,Y31.5880,,,,,,,186.41,18.6,202.8909189,2997.677593,25.94196668,37.44331005,10.01665771,17.87211177,6.513,31.588,0,63.176,63.176,-3,0,Climb,3.2,63.2,3,192.87,578.61,Cut with Feed,63.176,Face Milling
492.91,G04,X1.0000,,,,,,7.03,0.87,0,2998,2,6.647727273,7.988636364,26.65909091,6.513,31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
493.78,X9.6880,,,,,,,13.88,1.18,150.1176471,2998,17.58823529,22.02521008,11.66386555,25.71428571,9.688,31.588,3.175,0,3.175,-3,0,Climb,3.1,4.4,3,10.2,30.6,Cut with Feed,3.175,Face Milling
494.96,G04,X1.0000,,,,,,7.79,0.89,0,2998,3.988888889,4.666666667,8.655555556,17.61111111,9.688,31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
495.85,Y-31.5880,,,,,,,324.27,15.22,248.996717,2998,28.43007223,17.21470781,21.29152988,22.92580433,9.688,-31.588,0,-63.176,63.176,-3,0,Conventional,3.2,63.2,3,192.98,578.94,Cut with Feed,63.176,Face Milling
511.07,G04,X1.0000,,,,,,6.38,0.89,0,2997.888889,2.066666667,2.688888889,7.088888889,20.76666667,9.688,-31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
511.96,X12.8630,,,,,,,10.6,0.88,251.1460674,2988.11236,22.34831461,62.95505618,11.91011236,22.48314607,12.863,-31.588,3.175,0,3.175,-3,0,Conventional,3,4.4,3,10.09,30.27,Cut with Feed,3.175,Face Milling
512.84,G04,X1.0000,,,,,,0.63,0.89,0,2998,4.722222222,0.344444444,0.7,27.32222222,12.863,-31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
513.73,Y31.5880,,,,,,,187.95,15.11,248.792328,2997.801587,28.48015873,44.41071429,12.43055556,18.96097884,12.863,31.588,0,63.176,63.176,-3,0,Climb,3.2,63.2,3,186.77,560.31,Cut with Feed,63.176,Face Milling
528.84,G04,X1.0000,,,,,,10.03,1.18,0,2997.915966,1.134453782,7.798319328,8.428571429,28.44537815,12.863,31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
530.02,X16.0380,,,,,,,8.13,0.6,249.8360656,2993.081967,22.42622951,53.67213115,13.32786885,22.47540984,16.038,31.588,3.175,0,3.175,-3,0,Climb,3.1,4.5,3,10.42,31.26,Cut with Feed,3.175,Face Milling
530.62,G04,X1.0000,,,,,,9.57,1.2,0,2997.917355,6.702479339,5.033057851,7.909090909,17.85950413,16.038,31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
531.82,Y-31.5880,,,,,,,293.55,12.58,304.7577442,2997.515488,31.89197776,20.47418586,23.31612391,23.15329627,16.038,-31.588,0,-63.176,63.176,-3,0,Conventional,6.4,63.2,3,192.79,578.37,Cut with Feed,63.176,Face Milling
544.4,G04,X1.0000,,,,,,5.94,0.89,0,2998,1.788888889,2.722222222,6.6,21.64444444,16.038,-31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
545.29,X19.2130,,,,,,,5.28,0.61,300.0806452,2998.16129,23.9516129,31.79032258,8.516129032,20.0483871,19.213,-31.588,3.175,0,3.175,-3,0,Conventional,3.1,4.4,3,10.33,30.99,Cut with Feed,3.175,Face Milling
545.9,G04,X1.0000,,,,,,0.91,1.22,0,3000.276423,7.43902439,1.276422764,0.739837398,25.98373984,19.213,-31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
547.12,Y31.5880,,,,,,,168.55,12.46,304.755413,2997.767442,32.12991179,40.03127506,13.51643945,18.26142743,19.213,31.588,0,63.176,63.176,-3,0,Climb,3.2,63.2,3,192.87,578.61,Cut with Feed,63.176,Face Milling
559.58,G04,X1.0000,,,,,,7.35,0.88,0,2997.88764,1.359550562,7.528089888,8.258426966,28.69662921,19.213,31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
560.46,X22.3880,,,,,,,12.44,0.9,221.3406593,2991.516484,21.05494505,55.83516484,13.67032967,24.72527473,22.388,31.588,3.175,0,3.175,-3,0,Climb,3.1,4.4,3,10.2,30.6,Cut with Feed,3.175,Face Milling
561.36,G04,X1.0000,,,,,,8.91,0.9,0,2997.89011,3.472527473,4.32967033,9.791208791,17.73626374,22.388,31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
562.26,Y-31.5880,,,,,,,326.29,12.46,304.755413,2997.526864,32.32959102,21.60304731,26.1659984,23.49959904,22.388,-31.588,0,-63.176,63.176,-3,0,Conventional,3.2,63.2,3,192.98,578.94,Cut with Feed,63.176,Face Milling
574.72,G04,X1.0000,,,,,,9.52,1.2,0,2997.917355,1.636363636,3.512396694,7.867768595,21.75206612,22.388,-31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
575.92,X25.5630,,,,,,,0.31,0.58,299.8305085,2988.338983,27.30508475,92.42372881,0.525423729,20.10169492,25.563,-31.588,3.175,0,3.175,-3,0,Conventional,3,4.4,3,10.09,30.27,Cut with Feed,3.175,Face Milling
576.5,G04,X1.0000,,,,,,0.63,1.19,0,3000.416667,6,1.316666667,0.525,27.15833333,25.563,-31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
577.69,Y31.5880,,,,,,,155.4,12.3,304.752234,2997.504468,33.67831032,47.60194963,12.62388302,18.3322502,25.563,31.588,0,63.176,63.176,-3,0,Climb,3.2,63.2,3,186.77,560.31,Cut with Feed,63.176,Face Milling
589.99,G04,X1.0000,,,,,,11.04,1.22,0,2998,1.390243902,5.25203252,8.975609756,28.91869919,25.563,31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
591.21,X28.7380,,,,,,,2.83,0.61,300.0806452,2998,14.37096774,18.09677419,4.564516129,21.4516129,28.738,31.588,3.175,0,3.175,-3,0,Climb,1.4,4.5,3,5.94,17.82,Cut with Feed,3.175,Face Milling
591.82,G04,X1.0000,,,,,,8.27,0.88,0,2998,2.033707865,6.966292135,9.292134831,18.98876404,28.738,31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
592.7,Y-31.5880,,,,,,,203.21,12.79,291.484375,2998,10.909375,5.76171875,15.87578125,24.27421875,28.738,-31.588,0,-63.176,63.176,-3,0,Conventional,4.6,59.6,3,83.01,249.03,Cut with Feed,63.176,Face Milling
605.49,G04,X1.0000,,,,,,5.76,0.89,0,2998,1,8.611111111,6.4,18.01111111,28.738,-31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
606.38,X31.5880,Y-30.0000,,,,,,7.33,0.58,301.5084746,2998,1,30.84745763,12.42372881,19.50847458,31.588,-30,2.85,1.588,3.262551762,-3,0,Conventional,0,0,3,0,0,Air-Cut,3.262551762,Face Milling
606.96,G04,X1.0000,,,,,,5.86,1.21,26.8442623,2998,1,9.959016393,4.803278689,20.75409836,31.588,-30,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
608.17,Y36.5740,,,,,,,178.18,13.13,304.7678843,2998,1,7.646879756,13.56012177,20.29680365,31.588,36.574,0,66.574,66.574,-3,0,,0,0,0,0,0,Air-Cut,66.574,Face Milling
621.3,G04,X1.0000,,,,,,7.86,0.9,0,2998,1,5.32967033,8.637362637,19.97802198,31.588,36.574,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
622.2,Z0,,,,,,,7.42,0.88,202.1910112,2998,1,5.011235955,8.337078652,38.23595506,31.588,36.574,0,0,0,0,3,,0,0,0,0,0,Air-cut in Z while retracting,3,Face Milling
623.08,G04,X1.0000,,,,,,7.39,0.9,217.8021978,2998,1,6.285714286,8.120879121,29.31868132,31.588,36.574,0,0,0,0,0,,0,0,,0,0,Dwell,0,Face Milling
623.98,G00,X-31.5880,Y-36.5740,,,,,13.84,0.28,19136.55172,2998,1,90.48275862,47.72413793,31.03448276,-31.588,-36.574,-63.176,-73.148,96.65317832,0,0,,0,0,0,0,0,No Cut - Rapid motion,96.65317832,Face Milling
624.26,G04,X1.0000,,,,,,5.81,1.2,0,2998,1,8.338842975,4.801652893,31.3553719,-31.588,-36.574,0,0,0,0,0,,0,0,,0,0,Dwell,0,Face Milling
625.46,Z-6.0000,,,,,,,9.15,4.72,75.83932347,2998,1,3.437632135,1.934460888,12.31712474,-31.588,-36.574,0,0,3,-6,-6,,0,0,0,71.25573925,0,Air-cut in Z while plunging,3,Face Milling
630.18,G04,X1.0000,,,,,,1.78,0.88,0,2998,1,3,2,19.03370787,-31.588,-36.574,0,0,0,-6,0,,0,0,,0,0,Dwell,0,Face Milling
631.06,Y30.0000,,,,,,,566.05,52.5,75.55665588,2997.88764,25.69339173,18.22529042,10.77985146,18.10836031,-31.588,30,0,66.574,66.574,-6,0,Climb,4.9,63.4,3,317.07,951.21,Cut with Feed,66.574,Face Milling
683.56,G04,X1.0000,,,,,,9.27,1.19,7.4,2998,2.291666667,16.66666667,7.725,28.225,-31.588,30,0,0,0,-6,0,,0,0,,0,0,Dwell,0,Face Milling
684.75,X-28.4130,Y31.5880,,,,,,34.13,2.98,75.64548495,2998,15.55852843,31.40802676,11.41471572,22.2173913,-28.413,31.588,3.175,1.588,3.549981549,-6,0,Climb,3.4,4.6,3,10.65,31.95,Cut with Feed,3.549981549,Face Milling
687.73,G04,X1.0000,,,,,,14.68,1.78,0,3692.469274,12.58659218,8.48603352,8.201117318,25.83798883,-28.413,31.588,0,0,0,-6,0,,0,0,,0,0,Dwell,0,Face Milling
689.51,Y-31.5880,,,,,,,555.7,16.91,225.3339243,4499.828605,28.87293144,13.85933806,32.8427896,23.40780142,-28.413,-31.588,0,-63.176,63.176,-6,0,Conventional,3,63.2,3,186.59,559.77,Cut with Feed,63.176,Face Milling
706.42,G04,X1.0000,,,,,,6.47,0.92,0,4500,3.129032258,0.989247312,6.956989247,24.61290323,-28.413,-31.588,0,0,0,-6,0,,0,0,,0,0,Dwell,0,Face Milling
707.34,X-25.2380,,,,,,,0.92,0.9,226.4835165,4500.10989,26.13186813,13.94505495,1.010989011,20.76923077,-25.238,-31.588,3.175,0,3.175,-6,0,Conventional,3.1,4.5,3,10.55,31.65,Cut with Feed,3.175,Face Milling
708.24,G04,X1.0000,,,,,,0.73,0.9,0,4503.186813,4.725274725,5.56043956,0.802197802,28.95604396,-25.238,-31.588,0,0,0,-6,0,,0,0,,0,0,Dwell,0,Face Milling
709.14,Y31.5880,,,,,,,187.28,16.78,224.9082787,4500,29.02858845,43.24359738,11.15425849,21.34961286,-25.238,31.588,0,63.176,63.176,-6,0,Climb,3.2,63.2,3,192.65,577.95,Cut with Feed,63.176,Face Milling
725.92,G04,X1.0000,,,,,,7.07,0.91,0,4500,3.043478261,8.77173913,7.684782609,30.33695652,-25.238,31.588,0,0,0,-6,0,,0,0,,0,0,Dwell,0,Face Milling
726.83,X-22.0630,,,,,,,2.66,0.9,158.6043956,4500.10989,19.47252747,55.78021978,2.923076923,24.57142857,-22.063,31.588,3.175,0,3.175,-6,0,Climb,3.1,4.5,3,10.42,31.26,Cut with Feed,3.175,Face Milling
727.73,G04,X1.0000,,,,,,6.59,1.17,0,4502.542373,8.508474576,11.07627119,5.584745763,20.55084746,-22.063,31.588,0,0,0,-6,0,,0,0,,0,0,Dwell,0,Face Milling
728.9,Y-31.5880,,,,,,,479.88,12.64,300.6324111,4500,35.33438735,15.62371542,37.93517787,24.18023715,-22.063,-31.588,0,-63.176,63.176,-6,0,Conventional,3.2,63.2,3,192.78,578.34,Cut with Feed,63.176,Face Milling
741.54,G04,X1.0000,,,,,,6.46,0.89,0,4500,3.2,1.288888889,7.177777778,29.28888889,-22.063,-31.588,0,0,0,-6,0,,0,0,,0,0,Dwell,0,Face Milling
742.43,X-18.8880,,,,,,,8.12,0.6,300,4500.163934,29.31147541,55.24590164,13.31147541,21.57377049,-18.888,-31.588,3.175,0,3.175,-6,0,Conventional,3.1,4.4,3,10.33,30.99,Cut with Feed,3.175,Face Milling
743.03,G04,X1.0000,,,,,,1.54,1.18,0,4502.436975,8.151260504,8.647058824,1.294117647,28.42857143,-18.888,-31.588,0,0,0,-6,0,,0,0,,0,0,Dwell,0,Face Milling
744.21,Y31.5880,,,,,,,185.05,12.57,297.7265501,4500,34.94833068,43.54531002,14.70985692,21.46104928,-18.888,31.588,0,63.176,63.176,-6,0,Climb,3.2,63.2,3,192.87,578.61,Cut with Feed,63.176,Face Milling
756.78,G04,X1.0000,,,,,,7.12,0.89,0,4500,3.155555556,5.444444444,7.911111111,31.25555556,-18.888,31.588,0,0,0,-6,0,,0,0,,0,0,Dwell,0,Face Milling
757.67,X-15.7130,,,,,,,0.3,0.59,299.9166667,4500.166667,25.43333333,61.83333333,0.5,22.51666667,-15.713,31.588,3.175,0,3.175,-6,0,Climb,3,4.4,3,10.19,30.57,Cut with Feed,3.175,Face Milling
758.26,G04,X1.0000,,,,,,5.88,1.18,0,4502.605042,8.663865546,6.731092437,4.941176471,20.07563025,-15.713,31.588,0,0,0,-6,0,,0,0,,0,0,Dwell,0,Face Milling
759.44,Y-31.5880,,,,,,,438.01,9.89,380.6151515,4500,42.17070707,18.41111111,44.24343434,24.92424242,-15.713,-31.588,0,-63.176,63.176,-6,0,Conventional,3.1,63.2,3,186.66,559.98,Cut with Feed,63.176,Face Milling
769.33,G04,X1.0000,,,,,,10.11,1.21,0,4500,3.459016393,3.196721311,8.286885246,24.43442623,-15.713,-31.588,0,0,0,-6,0,,0,0,,0,0,Dwell,0,Face Milling
770.54,X-12.5380,,,,,,,4.29,0.6,333.3114754,4500,37.55737705,33.06557377,7.032786885,17.73770492,-12.538,-31.588,3.175,0,3.175,-6,0,Conventional,3.1,4.5,3,10.55,31.65,Cut with Feed,3.175,Face Milling
771.14,G04,X1.0000,,,,,,0.93,0.92,0,4500,5.322580645,8.204301075,1,28.92473118,-12.538,-31.588,0,0,0,-6,0,,0,0,,0,0,Dwell,0,Face Milling
